Date,Open,High,Low,Close,Adj Close,Volume
2020-06-04,305.000000,306.000000,304.000000,306.000000,297.978485,46572451
2020-06-05,308.500000,312.000000,308.000000,311.500000,303.334290,42981262
2020-06-08,316.000000,319.000000,315.000000,318.000000,309.663879,50302921
2020-06-09,316.500000,319.000000,314.000000,319.000000,310.637665,36417082
2020-06-10,319.000000,324.000000,318.000000,322.500000,314.045929,39984259
2020-06-11,325.500000,327.000000,318.500000,320.500000,312.098358,50104255
2020-06-12,313.000000,317.500000,312.500000,316.000000,307.716309,45992918
2020-06-15,316.000000,317.500000,308.500000,309.500000,301.386719,51032404
2020-06-16,317.000000,317.000000,314.000000,315.000000,306.742523,36608216
2020-06-17,316.500000,317.000000,313.500000,315.000000,306.742523,34522968
2020-06-18,314.500000,315.000000,313.000000,314.500000,308.705688,29044474
2020-06-19,314.000000,314.500000,312.000000,314.500000,308.705688,48130280
2020-06-22,314.500000,316.500000,312.000000,312.000000,306.251770,37374616
2020-06-23,316.000000,316.500000,312.500000,315.000000,309.196503,41300084
2020-06-24,319.000000,320.000000,316.000000,317.500000,311.650421,54147024
2020-06-29,314.000000,315.000000,310.000000,312.000000,306.251770,56580892
2020-06-30,313.500000,314.000000,311.000000,313.000000,307.233337,48991860
2020-07-01,315.000000,318.000000,314.000000,317.500000,311.650421,29532342
2020-07-02,319.000000,322.000000,318.000000,322.000000,316.067505,34526178
2020-07-03,327.000000,330.500000,326.500000,329.500000,323.429352,53341987
2020-07-06,332.500000,338.000000,332.000000,338.000000,331.772736,57256220
2020-07-07,343.500000,346.000000,338.000000,338.500000,332.263489,59046323
2020-07-08,337.500000,342.500000,337.500000,341.000000,334.717468,30720218
2020-07-09,346.000000,347.000000,343.000000,345.000000,338.643768,35522376
2020-07-10,352.500000,353.000000,345.500000,348.500000,342.079285,60902108
2020-07-13,351.000000,354.500000,350.500000,354.500000,347.968719,48069523
2020-07-14,355.000000,364.000000,354.500000,363.500000,356.802917,61764150
2020-07-15,366.000000,370.000000,361.000000,363.000000,356.312134,73438362
2020-07-16,359.000000,361.000000,353.500000,357.500000,350.913452,68220512
2020-07-17,361.000000,369.000000,360.000000,367.000000,360.238434,65727485
2020-07-20,370.000000,370.000000,362.500000,366.000000,359.256866,42769238
2020-07-21,372.500000,387.000000,371.500000,383.000000,375.943634,64219128
2020-07-22,381.000000,386.000000,379.000000,384.000000,376.925262,43759670
2020-07-23,382.000000,383.000000,379.000000,381.500000,374.471313,45209282
2020-07-24,390.000000,395.000000,382.000000,386.000000,378.888367,86682734
2020-07-27,420.500000,424.500000,416.500000,424.500000,416.679077,99333798
2020-07-28,464.000000,466.500000,428.500000,435.000000,426.985596,166307746
2020-07-29,428.000000,431.500000,419.500000,422.000000,414.225098,85663166
2020-07-30,436.500000,441.000000,428.500000,434.000000,426.004059,69293949
2020-07-31,426.000000,432.000000,425.500000,425.500000,417.660645,49897674
2020-08-03,420.500000,424.000000,415.000000,416.000000,408.335632,76429571
2020-08-04,421.500000,425.500000,418.500000,425.500000,417.660645,41223445
2020-08-05,430.500000,433.500000,426.000000,429.000000,421.096161,47223834
2020-08-06,437.500000,438.000000,431.000000,435.000000,426.985596,41029627
2020-08-07,433.500000,434.000000,428.000000,433.000000,425.022461,36589460
2020-08-10,427.500000,437.500000,427.500000,435.500000,427.476410,36067500
